mem,nic,pr
0.198214286,0.115178571,0.134375
0.155357143,0.084821429,0.146875
0.248214286,0.125,0.384375
0.166071429,0.089285714,0.13125
0.155357143,0.133928571,0.196875
0.158928571,0.111607143,0.3875
0.296428571,0.086607143,0.421875
0.292857143,0.071428571,0.29375
0.310714286,0.10625,0.10625
0.214285714,0.105357143,0.309375
0.166071429,0.125892857,0.4
0.241071429,0.1,0.621875
0.210714286,0.080357143,0.13125
0.230357143,0.140178571,0.28125
0.278571429,0.105357143,0.32
0.255357143,0.05625,0.35625
0.201785714,0.085714286,0.39375
0.219642857,0.072321429,0.321875
0.271428571,0.14375,0.153125
0.307142857,0.071428571,0.4875
0.267857143,0.108035714,0.178125
0.173214286,0.14375,0.221875
0.126785714,0.125,0.3625
0.148214286,0.0625,0.440625
0.235714286,0.104464286,0.371875
0.226785714,0.08125,0.165625
0.228571429,0.145535714,0.453125
0.298214286,0.0875,0.39375
0.280357143,0.125,0.39375
0.201785714,0.134821429,0.34375
0.167857143,0.123214286,0.234375
0.2,0.130357143,0.390625
0.266071429,0.144642857,0.2875
0.182142857,0.091071429,0.178125
0.171428571,0.121428571,0.40625
0.175,0.157142857,0.384375
0.233928571,0.113392857,0.265625
0.173214286,0.114285714,0.384375
0.0625,0.078571429,0.45
0.164285714,0.09375,0.26875
0.246428571,0.082142857,0.109375
0.198214286,0.102678571,0.253125
0.217857143,0.101785714,0.425
0.285714286,0.136607143,0.328125
0.239285714,0.071428571,0.18125
0.144642857,0.096428571,0.478125
0.166071429,0.100892857,0.4875
0.267857143,0.139285714,0.253125
0.196428571,0.098214286,0.234375
0.198214286,0.122321429,0.496875
0.201785714,0.114285714,0.225
0.273214286,0.095535714,0.271875
0.244642857,0.0875,0.25625
0.282142857,0.1375,0.371875
0.305357143,0.1375,0.29375
0.285714286,0.1125,0.23125
0.248214286,0.104464286,0.26
0.180357143,0.108035714,0.296875
0.192857143,0.1375,0.253125
0.248214286,0.115178571,0.15
0.258928571,0.077678571,0.190625
0.292857143,0.10625,0.175
0.269642857,0.075892857,0.109375
0.275,0.059821429,0.2375
0.175,0.129464286,0.21875
0.164285714,0.111607143,0.128125
0.085714286,0.079464286,0.165625
0.217857143,0.105357143,0.14375
0.221428571,0.11875,0.228125
0.182142857,0.10625,0.203125
0.182142857,0.120535714,0.128125
0.303571429,0.100892857,0.165625
0.273214286,0.100892857,0.178125
0.144642857,0.108928571,0.209375
0.169642857,0.091964286,0.178125
0.173214286,0.082142857,0.128125
0.185714286,0.122321429,0.084375
0.285714286,0.108928571,0.159375
0.226785714,0.088392857,0.109375
0.167857143,0.114285714,0.23125
0.146428571,0.111607143,0.196875
0.230357143,0.097321429,0.13125
0.225,0.096428571,0.11875
0.228571429,0.0875,0.190625
0.248214286,0.086607143,0.0875
0.226785714,0.125,0.1375
0.155357143,0.096428571,0.190625
0.155357143,0.091964286,0.128125
0.176785714,0.1,0.11875
0.198214286,0.096428571,0.153125
0.255357143,0.092857143,0.128125
0.296428571,0.1125,0.121875
0.248214286,0.110714286,0.121875
0.201785714,0.091071429,0.115625
0.223214286,0.096428571,0.078125
0.248214286,0.089285714,0.128125
0.169642857,0.098214286,0.1375
0.180357143,0.098214286,0.1
0.264285714,0.108928571,0.140625
0.2375,0.103571429,0.128125
0.303571429,0.092857143,0.084375
0.321428571,0.105357143,0.159375
0.3,0.09375,0.1375
0.310714286,0.098214286,0.128125
0.258928571,0.083035714,0.071875
0.155357143,0.116071429,0.1
0.164285714,0.103571429,0.121875
0.166071429,0.097321429,0.11875
0.1375,0.108928571,0.165625
0.169642857,0.108035714,0.215625
0.192857143,0.110714286,0.1125
0.142857143,0.1125,0.15625
0.178571429,0.085714286,0.175
0.257142857,0.100892857,0.103125
0.266071429,0.080357143,0.175
0.260714286,0.09375,0.146875
0.25,0.096428571,0.175
0.239285714,0.088392857,0.11875
0.296428571,0.099107143,0.121875
0.216071429,0.1,0.128125
0.217857143,0.094642857,0.1125
0.2875,0.104464286,0.078125
0.289285714,0.098214286,0.128125
0.260714286,0.099107143,0.08125
0.266071429,0.102678571,0.059375
0.307142857,0.108928571,0.15625
0.316071429,0.092857143,0.171875
0.323214286,0.095535714,0.1125
0.280357143,0.100892857,0.071875
0.198214286,0.101785714,0.06875
0.1875,0.098214286,0.07
0.285714286,0.096428571,0.0625
0.276785714,0.099107143,0.084375
0.291071429,0.099107143,0.11875
0.307142857,0.095535714,0.13125
0.321428571,0.105357143,0.15625
0.326785714,0.098214286,0.11875
0.317857143,0.095535714,0.1
0.303571429,0.100892857,0.125
0.155357143,0.102678571,0.134375
0.125,0.099107143,0.0625
0.164285714,0.09375,0.0625
0.196428571,0.092857143,0.078125
0.307142857,0.101785714,0.0625
0.296428571,0.099107143,0.071875
0.308928571,0.101785714,0.084375
0.2625,0.10625,0.121875
0.198214286,0.104464286,0.15
0.108928571,0.102678571,0.11875
0.169642857,0.099107143,0.10625
0.241071429,0.097321429,0.1125
0.1875,0.101785714,0.14375
0.164285714,0.102678571,0.171875
0.158928571,0.100892857,0.19375
0.273214286,0.108928571,0.16875
0.198214286,0.101785714,0.17
0.169642857,0.088392857,0.175
0.183928571,0.116071429,0.128125
0.282142857,0.107142857,0.134375
0.298214286,0.097321429,0.125
0.317857143,0.109821429,0.175
0.280357143,0.110714286,0.13125
0.267857143,0.096428571,0.175
0.273214286,0.100892857,0.1375
0.298214286,0.121428571,0.13125
0.2625,0.103571429,0.153125
0.2,0.094642857,0.325
0.219642857,0.116964286,0.353125
0.276785714,0.089285714,0.209375
0.282142857,0.100892857,0.2
0.203571429,0.110714286,0.259375
0.185714286,0.10625,0.125
0.217857143,0.102678571,0.178125
0.221428571,0.104464286,0.178125
0.15,0.108928571,0.25
0.098214286,0.102678571,0.1375
0.194642857,0.109821429,0.090625
0.266071429,0.114285714,0.096875
0.285714286,0.088392857,0.128125
0.301785714,0.111607143,0.20625
0.283928571,0.102678571,0.208125
0.257142857,0.095535714,0.178125
0.282142857,0.096428571,0.203125
0.294642857,0.1,0.228125
0.280357143,0.113392857,0.16875
0.210714286,0.105357143,0.225
0.1625,0.095535714,0.403125
0.192857143,0.102678571,0.409375
0.321428571,0.094642857,0.134375
0.330357143,0.108928571,0.10625
0.2,0.113392857,0.134375
0.185714286,0.096428571,0.125
0.278571429,0.115178571,0.05625
0.269642857,0.138392857,0.059375
0.285714286,0.102678571,0.078125
0.301785714,0.099107143,0.078125
0.321428571,0.103571429,0.0625
0.326785714,0.103571429,0.078125
0.317857143,0.099107143,0.090625
0.308928571,0.099107143,0.146875
0.214285714,0.099107143,0.1125
0.146428571,0.097321429,0.103125
0.076785714,0.098214286,0.109375
0.194642857,0.102678571,0.10625
0.292857143,0.102678571,0.153125
0.2875,0.103571429,0.17
0.303571429,0.109821429,0.19375
0.319642857,0.095535714,0.175
0.198214286,0.084821429,0.165625
0.166071429,0.1,0.128125
0.126785714,0.097321429,0.13125
0.225,0.113392857,0.125
0.241071429,0.10625,0.171875
0.1875,0.094642857,0.15625
0.148214286,0.090178571,0.140625
0.210714286,0.107142857,0.190625
0.216071429,0.121428571,0.125
0.1875,0.098214286,0.175
0.183928571,0.110714286,0.378125
0.266071429,0.119642857,0.315625
0.298214286,0.089285714,0.2
0.314285714,0.10625,0.259375
0.285714286,0.108035714,0.321875
0.269642857,0.102678571,0.209375
0.271428571,0.103571429,0.14375
0.296428571,0.108035714,0.184375
0.285714286,0.111607143,0.23125
0.225,0.10625,0.1125
0.219642857,0.084821429,0.090625
0.219642857,0.099107143,0.09375
0.3,0.113392857,0.15
0.207142857,0.098214286,0.196875
0.2,0.096428571,0.190625
0.208928571,0.094642857,0.2
0.225,0.104464286,0.203125
0.208928571,0.113392857,0.146875
0.107142857,0.095535714,0.171875
0.194642857,0.102678571,0.40625
0.194642857,0.100892857,0.371875
0.275,0.098214286,0.15
0.294642857,0.109821429,0.1875
0.283928571,0.114285714,0.121875
0.266071429,0.096428571,0.134375
0.276785714,0.128571429,0.159375
0.289285714,0.107142857,0.340625
0.2875,0.100892857,0.209375
0.175,0.102678571,0.20625
0.194642857,0.100892857,0.31875
0.241071429,0.105357143,0.253125
0.283928571,0.100892857,0.13125
0.298214286,0.099107143,0.175
0.283928571,0.099107143,0.2
0.251785714,0.099107143,0.25625
0.280357143,0.096428571,0.13125
0.294642857,0.099107143,0.090625
0.282142857,0.101785714,0.134375
0.271428571,0.108035714,0.178125
0.2625,0.108035714,0.209375
0.2625,0.111607143,0.221875
