mem,nic,pr
0.294642857,0.099107143,0.11875
0.294642857,0.1,0.121875
0.294642857,0.099107143,0.121875
0.294642857,0.099107143,0.121875
0.294642857,0.1,0.121875
0.294642857,0.099107143,0.121875
0.294642857,0.099107143,0.128125
0.292857143,0.099107143,0.140625
0.291071429,0.099107143,0.146875
0.291071429,0.099107143,0.1375
0.289285714,0.099107143,0.146875
0.298214286,0.099107143,0.125
0.296428571,0.099107143,0.10625
0.298214286,0.1,0.096875
0.305357143,0.097321429,0.090625
0.296428571,0.1,0.1125
0.294642857,0.099107143,0.115625
0.294642857,0.099107143,0.121875
0.294642857,0.099107143,0.121875
0.294642857,0.099107143,0.128125
0.294642857,0.099107143,0.128125
0.294642857,0.099107143,0.134375
0.294642857,0.099107143,0.134375
0.294642857,0.099107143,0.140625
0.294642857,0.099107143,0.140625
0.294642857,0.099107143,0.140625
0.294642857,0.099107143,0.140625
0.294642857,0.099107143,0.134375
0.294642857,0.099107143,0.128125
0.294642857,0.099107143,0.128125
0.294642857,0.099107143,0.121875
0.294642857,0.099107143,0.121875
0.294642857,0.099107143,0.121875
0.294642857,0.099107143,0.121875
0.294642857,0.099107143,0.121875
0.294642857,0.099107143,0.121875
0.294642857,0.098214286,0.121875
0.294642857,0.097321429,0.128125
0.294642857,0.097321429,0.128125
0.294642857,0.098214286,0.128125
0.294642857,0.099107143,0.128125
0.294642857,0.099107143,0.128125
0.294642857,0.099107143,0.128125
0.294642857,0.099107143,0.128125
0.294642857,0.099107143,0.128125
0.294642857,0.099107143,0.128125
0.294642857,0.099107143,0.128125
0.294642857,0.099107143,0.128125
0.294642857,0.099107143,0.128125
0.294642857,0.099107143,0.128125
0.294642857,0.099107143,0.128125
0.294642857,0.099107143,0.128125
0.294642857,0.099107143,0.128125
0.294642857,0.099107143,0.128125
0.294642857,0.099107143,0.128125
0.294642857,0.100892857,0.128125
0.294642857,0.100892857,0.1375
0.301785714,0.105357143,0.125
0.171428571,0.129464286,0.125
0.053571429,0.110714286,0.271875
0.116071429,0.071428571,0.346875
0.141071429,0.138392857,0.26875
0.226785714,0.145535714,0.259375
0.248214286,0.092857143,0.159375
0.153571429,0.09375,0.153125
0.333928571,0.107142857,0.090625
0.333928571,0.104464286,0.109375
0.333928571,0.103571429,0.05
0.2625,0.107142857,0.075
0.269642857,0.099107143,0.090625
0.269642857,0.086607143,0.040625
0.326785714,0.103571429,0.09375
0.157142857,0.110714286,0.140625
0.157142857,0.102678571,0.115625
0.157142857,0.103571429,0.1875
0.310714286,0.097321429,0.103125
0.310714286,0.098214286,0.1125
0.148214286,0.125892857,0.1
0.251785714,0.09375,0.234375
0.251785714,0.11875,0.1625
0.171428571,0.123214286,0.13125
0.246428571,0.086607143,0.24375
0.246428571,0.107142857,0.2125
0.130357143,0.102678571,0.13125
0.307142857,0.108928571,0.103125
0.307142857,0.095535714,0.18125
0.180357143,0.078571429,0.15625
0.175,0.082142857,0.140625
0.175,0.08125,0.078125
0.2,0.102678571,0.196875
0.248214286,0.100892857,0.1375
0.248214286,0.091964286,0.20625
0.1375,0.115178571,0.159375
0.182142857,0.111607143,0.121875
0.182142857,0.101785714,0.225
0.160714286,0.100892857,0.20625
0.103571429,0.099107143,0.10625
0.103571429,0.104464286,0.146875
0.132142857,0.086607143,0.203125
0.269642857,0.084821429,0.25625
0.269642857,0.098214286,0.30625
0.2125,0.086607143,0.171875
0.233928571,0.099107143,0.225
0.233928571,0.099107143,0.140625
0.169642857,0.089285714,0.178125
0.214285714,0.085714286,0.2
0.214285714,0.096428571,0.103125
0.2125,0.066964286,0.15
0.083928571,0.098214286,0.275
0.083928571,0.108035714,0.190625
0.153571429,0.096428571,0.140625
0.235714286,0.082142857,0.11875
0.235714286,0.107142857,0.15625
0.141071429,0.115178571,0.2125
0.264285714,0.107142857,0.253125
0.264285714,0.108035714,0.16875
0.189285714,0.067857143,0.1125
0.125,0.111607143,0.15
0.125,0.084821429,0.184375
0.176785714,0.122321429,0.096875
0.280357143,0.10625,0.203125
0.280357143,0.125892857,0.240625
0.2875,0.094642857,0.2875
0.158928571,0.079464286,0.240625
0.158928571,0.103571429,0.3375
0.225,0.110714286,0.203125
0.235714286,0.096428571,0.178125
0.235714286,0.099107143,0.121875
0.266071429,0.095535714,0.23125
0.133928571,0.066964286,0.2
0.133928571,0.104464286,0.203125
0.160714286,0.108928571,0.115625
0.142857143,0.101785714,0.1625
0.219642857,0.105357143,0.196875
0.278571429,0.0875,0.1875
0.25,0.1,0.0875
0.246428571,0.119642857,0.096875
0.207142857,0.120535714,0.2375
0.217857143,0.085714286,0.265625
0.203571429,0.097321429,0.33125
0.253571429,0.075,0.140625
0.275,0.1,0.125
0.267857143,0.116964286,0.228125
0.273214286,0.092857143,0.19375
0.205357143,0.107142857,0.36875
0.223214286,0.104464286,0.353125
0.271428571,0.098214286,0.3125
0.223214286,0.1,0.228125
0.2125,0.120535714,0.15625
0.260714286,0.095535714,0.1875
0.266071429,0.111607143,0.14375
0.292857143,0.111607143,0.0875
0.280357143,0.109821429,0.234375
0.232142857,0.121428571,0.246875
0.232142857,0.111607143,0.24375
0.230357143,0.089285714,0.171875
0.182142857,0.121428571,0.23125
0.232142857,0.108928571,0.259375
0.2625,0.078571429,0.2125
0.223214286,0.099107143,0.0875
0.253571429,0.090178571,0.0875
0.246428571,0.126785714,0.275
0.221428571,0.100892857,0.175
0.2125,0.1125,0.25
0.251785714,0.096428571,0.16875
0.253571429,0.088392857,0.15625
0.251785714,0.092857143,0.146875
0.264285714,0.078571429,0.13125
0.253571429,0.080357143,0.278125
0.253571429,0.072321429,0.184375
0.144642857,0.111607143,0.190625
0.203571429,0.101785714,0.2375
0.203571429,0.096428571,0.35
0.1875,0.091071429,0.359375
0.25,0.107142857,0.19375
0.258928571,0.100892857,0.0875
0.203571429,0.083928571,0.153125
0.246428571,0.102678571,0.26875
0.235714286,0.083035714,0.075
0.155357143,0.129464286,0.271875
0.201785714,0.111607143,0.265625
