,z1mood,z2mood,delta,gf,gm
0,0.21170273913030976,0.1494947250862777,29.384605177801244,0.05,0.05
1,0.2110222443027019,0.1494983305388993,29.15517933528814,0.1,0.05
2,0.21019577146945134,0.14950182942484905,28.874958625617836,0.15000000000000002,0.05
3,0.2091999206962614,0.14950516748865916,28.534787684873645,0.2,0.05
4,0.2080125606383958,0.14950827993421423,28.12535960551154,0.25,0.05
5,0.20661478511348105,0.14951108678450928,27.63775994908019,0.3,0.05
6,0.20499300486358613,0.14951348373240392,27.064104537665273,0.35,0.05
7,0.20314111029561321,0.14951531934854187,26.39829568177239,0.39999999999999997,0.05
8,0.20106268231408764,0.14951633689489538,25.636953026753,0.44999999999999996,0.05
9,0.19877328399301095,0.1495160344463508,24.78061868132745,0.49999999999999994,0.05
10,0.19630292091654303,0.14951335339458657,23.83539037702284,0.5499999999999999,0.05
11,0.19369878534068732,0.14950603419703207,22.815192705481753,0.6,0.05
12,0.19102836062340986,0.14948937186182956,21.744932860241402,0.65,0.05
13,0.18838281618785727,0.1494539596229895,20.664759850520294,0.7000000000000001,0.05
14,0.1858803331615351,0.1493818334878427,19.63548216904378,0.7500000000000001,0.05
15,0.18366850832092527,0.14924022924255714,18.744791577558495,0.8000000000000002,0.05
16,0.18192405730386962,0.14897190791044418,18.11313461329918,0.8500000000000002,0.05
17,0.1808458735020549,0.14848062041741694,17.89659473997906,0.9000000000000002,0.05
18,0.18063188212859296,0.14761047824015464,18.28104955742541,0.9500000000000003,0.05
19,0.21088237493028172,0.149498881774455,29.107929563160635,0.05,0.1
20,0.21016031770621996,0.14950224587542654,28.86276176817854,0.1,0.1
21,0.20929151385803071,0.14950549064757956,28.565908912583033,0.15000000000000002,0.1
22,0.2082540123190733,0.14950856235021878,28.20855613521076,0.2,0.1
23,0.2070274691008171,0.14951139647210324,27.781855653514754,0.25,0.1
24,0.20559501873409713,0.14951391302758038,27.277463263372304,0.3,0.1
25,0.2039452593779462,0.14951600692186048,26.688167512253276,0.35,0.1
26,0.20207429566340063,0.14951752378084737,26.008637917065002,0.39999999999999997,0.1
27,0.19998782483445524,0.1495181987486782,25.236349326542502,0.44999999999999996,0.1
28,0.19770330596276842,0.1495175109491331,24.372781617880328,0.49999999999999994,0.1
29,0.1952523040923023,0.14951436260453072,23.425045712213326,0.5499999999999999,0.1
30,0.19268312449808467,0.1495064210324641,22.408139570131254,0.6,0.1
31,0.1900638099388595,0.14948885683705065,21.34806890110282,0.65,0.1
32,0.1874854264967437,0.14945207075000058,20.286033137302915,0.7000000000000001,0.1
33,0.18506527693171193,0.14937783133214258,19.283706912095575,0.7500000000000001,0.1
34,0.18294919631590748,0.1492330527556454,18.429238411106613,0.8000000000000002,0.1
35,0.18131116787365087,0.14896019667224483,17.842790149556727,0.8500000000000002,0.1
36,0.1803463364078626,0.14846291102498024,17.678998097735867,0.9000000000000002,0.1
37,0.18024786868052114,0.14758574632142732,18.120670495685882,0.9500000000000003,0.1
38,0.209865696022057,0.14950287929209888,28.762593350946673,0.05,0.15000000000000002
39,0.2091018192616846,0.14950598746966257,28.50086718635368,0.1,0.15000000000000002
40,0.20819149149135735,0.1495089639771225,28.18680393414202,0.15000000000000002,0.15000000000000002
41,0.20711439325750397,0.14951175544861636,27.811991674219676,0.2,0.15000000000000002
42,0.20585211199619768,0.14951429753818277,27.36810126050858,0.25,0.15000000000000002
43,0.20438992089497166,0.14951651005505673,26.847415273531183,0.3,0.15000000000000002
44,0.20271865282279414,0.14951828663740815,26.24344895972198,0.35,0.15000000000000002
